                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7623      1.0000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                              effective_T                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                       1                  3.1622776601683819E+002                  1.0000000000000000E+001                  2.5000000000000000E+000                  3.4298678450560182E+001                 -9.8999999999999986E+001                                     1138                  2.8720388544161675E+000                  2.8592671638679856E-001                  7.8129745006983019E-008                  9.9999998241972232E-001                  9.9999995495650906E-001                  2.8592671638679856E-001                  7.8129745006983019E-008                  9.9999998241972232E-001                  9.9999995495650906E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9754303807017159E+033                  9.4559780327558002E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7809310624394907E+000                 -3.0458865524842544E+001                 -1.2041199826559247E+001                  3.7809310624394907E+000                  4.4057712470293016E+000                  2.5454891312855390E+004                  5.8712849003840911E+003                  3.7687331547538649E+000                  5.9608291977095562E-001                  4.2457235138712139E+000                  1.7608546715896166E+004                  7.5018351691952825E+000                  9.6723132035265136E-001                  1.6622839846428022E+001                  6.2046824398788025E-001                  8.4946190868514715E-001                  1.2982400550829656E+000                  6.9892372061271024E-001                  2.8052203133159775E-001                  5.9712644659063179E-005                  9.2829115844144314E-003                  3.4416106108119946E-003                  9.3604466091399777E-003                  6.9967054411189604E+000                  2.8013200470985775E+000                  1.7398185775379389E+000                  3.7769623037402709E+000                 -3.0458865524842544E+001                  6.6350136951442672E-010                                        0                                        0 
                                       2                  6.9570108523704403E+002                  1.0000000000000000E+001                  2.5791812460476251E+000                  3.4298678450560182E+001                 -9.8999999999999986E+001                                     1048                  2.8887701106625401E+000                  2.8592671638679856E-001                  7.8129745006982887E-008                  9.9999998241972243E-001                  9.9999995483847259E-001                  2.8592671638679856E-001                  7.8129745006982887E-008                  9.9999998241972243E-001                  9.9999995483847259E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9754303807017159E+033                  9.4559780327558002E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7722818152594098E+000                 -3.0470874520323502E+001                 -9.8999999999999986E+001                  3.7722818152594098E+000                  4.4055222552196991E+000                  2.5440301574373811E+004                  5.8557492772341275E+003                  3.7675824734730190E+000                  5.9600556274973759E-001                  4.2458782279136500E+000                  1.7614820741628711E+004                  7.5016492555727243E+000                  9.6644023422442948E-001                  1.6621875465194552E+001                  6.2047190704230726E-001                  8.4945814884333726E-001                  1.2982496146510309E+000                  6.9891620336170979E-001                  2.8052942264903702E-001                  5.8098359797405870E-005                  9.2818250559512962E-003                  3.4416106108119955E-003                  9.3604466091399777E-003                  6.9966823061855514E+000                  2.8013415727473125E+000                  1.7307723831706623E+000                  3.7683166989692953E+000                 -3.0470874520323502E+001                 -1.6552813127406915E-009                                        0                                        0 
                                       3                  1.1510690683012908E+003                  1.0000000000000000E+001                  2.6583624920952498E+000                  3.4298678450560182E+001                 -9.8999999999999986E+001                                     1046                  2.9115330459084636E+000                  2.9080568473744961E-001                  7.8129745006982887E-008                  9.9999998241972243E-001                  9.9999995483602444E-001                  2.9080568473744961E-001                  7.8129745006982887E-008                  9.9999998241972243E-001                  9.9999995483602444E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9754303807017205E+033                  9.4144894413355615E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7771476505282591E+000                 -3.0480624641460981E+001                 -1.1564078571839584E+001                  3.7771476505282591E+000                  4.4052612945620799E+000                  2.5425019492987263E+004                  5.8382131645418576E+003                  3.7662799478795010E+000                  5.9587622126821560E-001                  4.2461369108766940E+000                  1.7625315950626256E+004                  7.5014976757600920E+000                  9.6567424632845789E-001                  1.6620975179466942E+001                  6.2047307967485643E-001                  8.4945690418632525E-001                  1.2982525623731727E+000                  6.9891370740022551E-001                  2.8053238423788257E-001                  6.0680964651263642E-005                  9.2813839711633605E-003                  3.4416106108119955E-003                  9.3604466091399777E-003                  6.9966541764220986E+000                  2.8013672284540143E+000                  1.7394384684958863E+000                  3.7731475246603283E+000                 -3.0480624641460981E+001                 -2.3070433810870871E-009                                        0                                        0 
                                       4                  1.6975106479783872E+003                  1.0000000000000000E+001                  2.7375437381428744E+000                  3.4298678450560182E+001                 -9.8999999999999986E+001                                     1046                  2.9419893820612586E+000                  2.9242897534862422E-001                  7.8129745006982887E-008                  9.9999998241972243E-001                  9.9999995485210380E-001                  2.9242897534862422E-001                  7.8129745006982887E-008                  9.9999998241972243E-001                  9.9999995485210380E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9754303807017205E+033                  9.4144894413355615E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7800786873007568E+000                 -3.0485812315082537E+001                 -1.1740169830895265E+001                  3.7800786873007568E+000                  4.4050728589525860E+000                  2.5413990248965401E+004                  5.8238605261607754E+003                  3.7652109656449433E+000                  5.9571860136992627E-001                  4.2464521506732726E+000                  1.7638114220612380E+004                  7.5014171227266075E+000                  9.6525487622323991E-001                  1.6620485598266715E+001                  6.2047510050801968E-001                  8.4945478515232242E-001                  1.2982577791907715E+000                  6.9890946420773858E-001                  2.8053695580074139E-001                  6.2235694105428451E-005                  9.2807069932309642E-003                  3.4416106108119955E-003                  9.3604466091399777E-003                  6.9966201548284612E+000                  2.8013979076214417E+000                  1.7459154915273452E+000                  3.7760456142212231E+000                 -3.0485812315082537E+001                 -2.3428209982923873E-009                                        0                                        0 
                                       5                  2.3532405435909031E+003                  1.0000000000000000E+001                  2.8167249841904995E+000                  3.4298678450560182E+001                 -9.8999999999999986E+001                                     1046                  2.9348587750014610E+000                  2.9242897534862422E-001                  7.8129745006982887E-008                  9.9999998241972243E-001                  9.9999995488668503E-001                  2.9242897534862422E-001                  7.8129745006982887E-008                  9.9999998241972243E-001                  9.9999995488668503E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9754303807017205E+033                  9.4144894413355615E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7691860549209726E+000                 -3.0487903225722018E+001                 -9.8999999999999986E+001                  3.7691860549209721E+000                  4.4049361394567779E+000                  2.5405990973770964E+004                  5.8117925788490602E+003                  3.7643101060615032E+000                  5.9554161056982036E-001                  4.2468061322734840E+000                  1.7652496427454280E+004                  7.5013846043112951E+000                  9.6505229957790206E-001                  1.6620253177110374E+001                  6.2048119742482111E-001                  8.4944845149875614E-001                  1.2982739226982007E+000                  6.9889680242871333E-001                  2.8054931339998035E-001                  5.8951567021528816E-005                  9.2788942699907322E-003                  3.4416106108119955E-003                  9.3604466091399777E-003                  6.9965804405364773E+000                  2.8014346850201584E+000                  1.7324548353772335E+000                  3.7651768695005927E+000                 -3.0487903225722018E+001                 -2.1919723970672971E-009                                        0                                        0 
                                       6                  3.1401164183259216E+003                  1.0000000000000000E+001                  2.8959062302381242E+000                  3.4298678450560182E+001                 -9.8999999999999986E+001                                     1046                  2.9220711200134923E+000                  2.9080568473744961E-001                  7.8129745006982887E-008                  9.9999998241972243E-001                  9.9999995493438099E-001                  2.9080568473744961E-001                  7.8129745006982887E-008                  9.9999998241972243E-001                  9.9999995493438099E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9754303807017205E+033                  9.4144894413355615E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7622549903211935E+000                 -3.0487444734710287E+001                 -9.8999999999999986E+001                  3.7622549903211935E+000                  4.4048365263615858E+000                  2.5400164330130137E+004                  5.8011628285692905E+003                  3.7635150555308097E+000                  5.9534331149485842E-001                  4.2472027304234077E+000                  1.7668624067398734E+004                  7.5013920402349461E+000                  9.6502551348264609E-001                  1.6620232991208638E+001                  6.2048848783574295E-001                  8.4944091008539646E-001                  1.2982930237669108E+000                  6.9888172469921772E-001                  2.8056431544983179E-001                  5.6756267906911719E-005                  9.2766949750449201E-003                  3.4416106108119955E-003                  9.3604466091399777E-003                  6.9965336184004441E+000                  2.8014788437505524E+000                  1.7198466003164814E+000                  3.7582981105087532E+000                 -3.0487444734710287E+001                 -2.0460429001404774E-009                                        0                                        0 
                                       7                  4.0843674680079434E+003                  1.0000000000000000E+001                  2.9750874762857489E+000                  3.4298678450560182E+001                 -9.8999999999999986E+001                                     1046                  2.9075212750867858E+000                  2.8918239412627500E-001                  7.8129745006982887E-008                  9.9999998241972243E-001                  9.9999995499404670E-001                  2.8918239412627500E-001                  7.8129745006982887E-008                  9.9999998241972243E-001                  9.9999995499404670E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8951179865641527E+033                  9.4144894413355615E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7585364614835273E+000                 -3.0485113404165162E+001                 -9.8999999999999986E+001                  3.7585364614835273E+000                  4.4047579575000677E+000                  2.5395569564208068E+004                  5.7911981318947128E+003                  3.7627684235271555E+000                  5.9512713321606892E-001                  4.2476350869809867E+000                  1.7686222608454369E+004                  7.5014288885249707E+000                  9.6511979785213409E-001                  1.6620359220178589E+001                  6.2049706405631189E-001                  8.4943190196576535E-001                  1.2983157493349591E+000                  6.9886371291060534E-001                  2.8058245149096311E-001                  5.5428652862007320E-005                  9.2740376170808402E-003                  3.4416106108119955E-003                  9.3604466091399777E-003                  6.9964779679618347E+000                  2.8015319295612766E+000                  1.7083177017593856E+000                  3.7546504227764492E+000                 -3.0485113404165162E+001                 -1.8581666222289184E-009                                        0                                        0 
                                       8                  5.2174687276263703E+003                  1.0000000000000000E+001                  3.0542687223333735E+000                  3.4298678450560182E+001                 -9.8999999999999986E+001                                     1046                  2.8958794018860017E+000                  2.8918239412627500E-001                  7.8129745006982887E-008                  9.9999998241972243E-001                  9.9999995506202566E-001                  2.8918239412627500E-001                  7.8129745006982887E-008                  9.9999998241972243E-001                  9.9999995506202566E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8951179865641527E+033                  9.4144894413355615E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7570797143211236E+000                 -3.0481624196754549E+001                 -9.8999999999999986E+001                  3.7570797143211236E+000                  4.4046890215424073E+000                  2.5391538822289916E+004                  5.7815575686731145E+003                  3.7620448543986948E+000                  5.9490322056715939E-001                  4.2480829122788064E+000                  1.7704469266407650E+004                  7.5014840027611012E+000                  9.6527955474056026E-001                  1.6620566975065969E+001                  6.2050740665635906E-001                  8.4942113476007564E-001                  1.2983428528481971E+000                  6.9884218214364435E-001                  2.8060427360491252E-001                  5.4714388962133815E-005                  9.2708419553609450E-003                  3.4416106108119955E-003                  9.3604466091399777E-003                  6.9964114457997315E+000                  2.8015957975020176E+000                  1.6980229518402326E+000                  3.7532723024121282E+000                 -3.0481624196754549E+001                 -1.6033041326090691E-009                                        0                                        0 
                                       9                  6.5771902391684825E+003                  1.0000000000000000E+001                  3.1334499683809987E+000                  3.4298678450560182E+001                 -9.8999999999999986E+001                                     1046                  2.8884616719564851E+000                  2.8592671638679878E-001                  7.8129745006982887E-008                  9.9999998241972243E-001                  9.9999995513356588E-001                  2.8592671638679878E-001                  7.8129745006982887E-008                  9.9999998241972243E-001                  9.9999995513356588E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8951179865641527E+033                  9.4144894413355615E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7569686939771918E+000                 -3.0477690838443337E+001                 -9.8999999999999986E+001                  3.7569686939771918E+000                  4.4046250496893196E+000                  2.5387798907943019E+004                  5.7724024722599370E+003                  3.7613566040201967E+000                  5.9468703908408560E-001                  4.2485152752449533E+000                  1.7722103771993694E+004                  7.5015460775467826E+000                  9.6545414187552592E-001                  1.6620795887944428E+001                  6.2051991341289137E-001                  8.4940814544735066E-001                  1.2983755147351965E+000                  6.9881620640527131E-001                  2.8063068634852695E-001                  5.4385462036632602E-005                  9.2669766340236961E-003                  3.4416106108119955E-003                  9.3604466091399777E-003                  6.9963316560614839E+000                  2.8016726647915946E+000                  1.6887157906951209E+000                  3.7532413993572331E+000                 -3.0477690838443337E+001                 -1.2895079094360167E-009                                        0                                        0 
