                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     150                                      845                  1.0000000000000000E+000                  2.0000000000000000E-002                  1.2124594043797640E+007                  6.2427117268496033E+004                  7.5058252971473139E+003                  2.3022152063639512E+000                  8.9853477977511631E-001                 -3.9196245231547677E-001                  6.9947673228673068E-001                  6.9468035257803831E-005                  2.8036576693695819E-001                  2.9133923804687805E-003                  1.6244385620290890E-003                  9.3604175653426852E-003                  2.0994599496981605E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  6.9990788870734377E-001                  7.0160590359539689E-005                  2.8001376331693689E-001                  3.3924843481963601E-003                  1.0654747952898852E-003                  9.3604440086621551E-003                  2.0994599496976882E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999998874245E-001                  8.9834776365426416E-001                  9.9999999997660105E-001                  8.9814666709128732E-001                  8.5277784638892444E+003                  1.1347461782315155E+007                  4.3436425805707788E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4254243198455807E-007                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99 
                                    zone                                     logT                                   logRho                                     logP                                     logR                               luminosity                                 eps_grav                log_abs_eps_grav_dm_div_L                      signed_log_eps_grav                               net_energy                         signed_log_power                                 velocity                                  entropy                              mixing_type                                   csound                                 v_div_cs                                      eta                                       mu                                       dm                                    logdq                                 dq_ratio                                        q                                    log_q                                   radius                                     rmid                              temperature                                      tau                                   logtau                                 pressure                          pgas_div_ptotal                                  logPgas                                    grada                                   free_e                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                     abar                                       ye                              log_opacity                                  eps_nuc                          log_abs_eps_nuc                          d_lnepsnuc_dlnd                          d_lnepsnuc_dlnT                              non_nuc_neu                        mlt_mixing_length                          mlt_mixing_type                          gradT_sub_grada                            log_mlt_Gamma                                log_D_mix                             log_conv_vel                      conv_vel_div_csound                            log_mlt_D_mix                    pressure_scale_height                               log_D_conv                               log_D_soft                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                                    gradT                                    gradr                                     mass                                    logxq                                    logxm                                        x                                        y                                        z                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                       pp                                      cno                                 tri_alfa                                   burn_c                                   burn_n                                   burn_o                                  burn_ne                                  burn_na                                  burn_mg                                  burn_si                                   burn_s                                  burn_ar                                  burn_ca                                  burn_ti                                  burn_cr                                  burn_fe                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                    other                          gradr_div_grada                                 brunt_N2 
                                       1                  3.8767831097350367E+000                 -7.5498372386534056E+000                  4.1356573189418526E+000                 -4.6465107901605747E-002                  2.3022152063639512E+000                 -7.9085173907367107E-003                 -1.5050937141493101E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3946680670358155E+001                  0.0000000000000000E+000                  2.0584948990522097E+001                                        0                  7.9823483457012789E+005                 -1.6733919230039350E-010                 -1.7106710910797116E+001                  1.2888180613517759E+000                  9.9460000000000341E+020                 -1.2301029995663979E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  8.9853477977511631E-001                  8.9852962288041449E-001                  7.5297942565023386E+003                  6.6666666666666663E-001                 -1.7609125905568127E-001                  1.3666500416899435E+004                  9.9940679220453077E-001                  4.1353996156262918E+000                  2.2033040970563883E-001                  7.1697879118161681E-003                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.2966439685554807E+000                  8.5000496627254196E-001                  2.3026160720687416E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8556500431554068E+007                                        0                 -9.3693006353821190E-002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  2.0515316842117638E-004                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.2663740335181764E-001                  1.2663740335181764E-001                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  7.0000000000000007E-001                  2.9797635251138316E-005                  2.7997020236474895E-001                  3.4416106108119959E-003                  1.0081585468366041E-003                  9.3604466091399743E-003                  2.0994599496976488E-003                  4.0903242835137500E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7476134829052905E-001                  2.4727026490078410E-004 
                                       2                  3.8796398469675673E+000                 -7.5315988819985602E+000                  4.1569619384962992E+000                 -4.6470092987699593E-002                  2.3022152063639534E+000                 -7.9130997275388363E-003                 -1.5050685576355587E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3946680670358155E+001                  0.0000000000000000E+000                  2.0568308346296202E+001                                        0                  7.9948448643945309E+005                 -1.6722074213859111E-010                 -1.7013162612915039E+001                  1.2881848067045210E+000                  9.9460000000000341E+020                 -1.2301029995663979E+001                  1.0000000000000000E+000                  9.9999999999949996E-001                 -2.1716654546785455E-013                  8.9852446592653112E-001                  8.9851952100078636E-001                  7.5794876030795904E+003                  7.0105743507115303E-001                 -1.5424640041755372E-001                  1.4353636327862019E+004                  9.9942013195187274E-001                  4.1567100319594292E+000                  2.1683717891573900E-001                  7.5521933623520984E-003                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.2966439685554807E+000                  8.5000496627254196E-001                  2.6917795776387171E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8659132316867970E+007                                        0                 -8.4456860921456212E-002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  2.0660200001546941E-004                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.3412693338923271E-001                  1.3412693338923271E-001                  9.9999999999949996E-001                 -1.2301029995663979E+001                 -1.2301029995663979E+001                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  7.0000000000000007E-001                  2.9797635251138316E-005                  2.7997020236474895E-001                  3.4416106108119959E-003                  1.0081585468366041E-003                  9.3604466091399743E-003                  2.0994599496976488E-003                  4.0903242835137500E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1361792081707767E-001                  2.2262503825273952E-004 
                                       3                  3.8830748605601895E+000                 -7.5125344992574972E+000                  4.1797410080758519E+000                 -4.6474873219472537E-002                  2.3022152063639552E+000                 -8.0581404254846788E-003                 -1.4945887371086606E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3946680670358155E+001                  0.0000000000000000E+000                  2.0555140776591053E+001                                        0                  8.0091984856520256E+005                 -1.6696818671933125E-010                 -1.6906959295272827E+001                  1.2873398363590238E+000                  1.2432500000000012E+021                 -1.2204119982655923E+001                  8.0000000000000182E-001                  9.9999999999899991E-001                 -4.3433309093581765E-013                  8.9851457602062235E-001                  8.9850866019404141E-001                  7.6396745944638578E+003                  7.3867303522954619E-001                 -1.3154775432239499E-001                  1.5126589038410462E+004                  9.9943207607621465E-001                  4.1794942917849358E+000                  2.1238484047353265E-001                  8.0588993901186991E-003                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.2966439685554807E+000                  8.5000496627254196E-001                  3.1693598611683982E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8870013304815426E+007                                        0                 -6.4411131927027659E-002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  2.0837213797732199E-004                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.5044722990328627E-001                  1.5044722990328627E-001                  9.9999999999899991E-001                 -1.1999999999999998E+001                 -1.1999999999999998E+001                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  7.0000000000000007E-001                  2.9797635251138313E-005                  2.7997020236474895E-001                  3.4416106108119959E-003                  1.0081585468366041E-003                  9.3604466091399743E-003                  2.0994599496976488E-003                  4.0903242835137500E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0021584741534582E-001                  1.6939147393638996E-004 
                                       4                  3.8872550844938996E+000                 -7.4931151267550060E+000                  4.2037274597599437E+000                 -4.6480592090907526E-002                  2.3022152063639578E+000                 -8.4345323719365248E-003                 -1.4926061193053028E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3946680670358155E+001                  0.0000000000000000E+000                  2.0547541153513286E+001                                        0                  8.0261428280133381E+005                 -1.6663862169648052E-010                 -1.6785750627517697E+001                  1.2861883044242857E+000                  1.2432500000000012E+021                 -1.2204119982655923E+001                  1.0000000000000000E+000                  9.9999999999837497E-001                 -7.0574305639759653E-013                  8.9850274428956267E-001                  8.9849708701345987E-001                  7.7135639511115314E+003                  7.9115940501151416E-001                 -1.0173600481809834E-001                  1.5985545455215150E+004                  9.9944149816062033E-001                  4.2034848377342362E+000                  2.0672873221337790E-001                  8.7537636957046756E-003                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.2966439685554807E+000                  8.5000496627254196E-001                  3.7389755230505217E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9160539218796182E+007                                        0                 -3.5237559563216309E-002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  2.1056941433632512E-004                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.7431922678023895E-001                  1.7431922678023895E-001                  9.9999999999837497E-001                 -1.1789146634685105E+001                 -1.1789146634685105E+001                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  7.0000000000000007E-001                  2.9797635251138313E-005                  2.7997020236474895E-001                  3.4416106108119959E-003                  1.0081585468366041E-003                  9.3604466091399743E-003                  2.0994599496976488E-003                  4.0903242835137500E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3184720391033606E-001                  9.2436905792150751E-005 
                                       5                  3.8907071922061141E+000                 -7.4797645982467467E+000                  4.2208873160720319E+000                 -4.6486061088631410E-002                  2.3022152063639605E+000                 -8.9035182734307165E-003                 -1.5203590543742084E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3946680670358155E+001                  0.0000000000000000E+000                  2.0547472481671239E+001                                        0                  8.0400168021305848E+005                 -1.6628291724543665E-010                 -1.6691211704233311E+001                  1.2851333083067951E+000                  6.2162500000000023E+020                 -1.2505149978319904E+001                  2.0000000000000013E+000                  9.9999999999775002E-001                 -9.7715302185954505E-013                  8.9849142966612561E-001                  8.9848868659935011E-001                  7.7751216402906812E+003                  8.5100322252035621E-001                 -7.0068795355883673E-002                  1.6629811101038111E+004                  9.9944579150006352E-001                  4.2206465596578964E+000                  2.0194762003608349E-001                  9.3981091664113760E-003                  6.9999999515804656E-001                  2.8000000484195359E-001                  1.9999999999999796E-002                  1.2966439739826185E+000                  8.5000496465855746E-001                  4.1995212415255334E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9483580038580578E+007                                        0                 -1.2783338798147137E-003                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  2.1241915604398105E-004                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  2.0226299021536689E-001                  2.0226299021536689E-001                  9.9999999999775002E-001                 -1.1647817481888636E+001                 -1.1647817481888636E+001                  6.9999999515804656E-001                  2.8000000484195359E-001                  1.9999999999999796E-002                  6.9999999515804656E-001                  2.9802477204637978E-005                  2.7997020236474895E-001                  3.4416106108119912E-003                  1.0081585468366041E-003                  9.3604466091399743E-003                  2.0994599496976488E-003                  4.0903242835137492E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9371953638654265E-001                  3.3465408288205868E-006 
                                       6                  3.8943280556904747E+000                 -7.4672842572369529E+000                  4.2373950242740674E+000                 -4.6488712880284944E-002                  2.3022152063639623E+000                 -9.5122497948233655E-003                 -1.4873838955976886E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3946680670358155E+001                  0.0000000000000000E+000                  2.0551240080541405E+001                                        1                  8.0549291662360460E+005                 -1.6609015599042291E-010                 -1.6596011880726902E+001                  1.2839303822599335E+000                  1.2432500000000012E+021                 -1.2204119982655923E+001                  4.9999999999999967E-001                  9.9999999999743749E-001                 -1.1128821127772467E-012                  8.9848594351583089E-001                  8.9848061271337554E-001                  7.8402165039379961E+003                  8.8427316016607849E-001                 -5.3413556675091671E-002                  1.7274083885863536E+004                  9.9944836866491649E-001                  4.2371553877276034E+000                  1.9692818624091615E-001                  1.0138236434437968E-002                  6.9999999515804656E-001                  2.8000000484195359E-001                  1.9999999999999796E-002                  1.2966439739826185E+000                  8.5000496465855746E-001                  4.6771806455796666E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9661125083421092E+007                                        1                  1.8013669618479694E-002                 -4.8580348692594670E+000                  9.1258390667748284E+000                  2.1292513123515810E+000                  1.6718202706224813E-004                  9.4232729970033411E+000                  2.1439553802753440E-004                  9.1258390667748284E+000                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  2.1828814505617405E-001                  2.1828814506396713E-001                  9.9999999999743749E-001                 -1.1591336125936188E+001                 -1.1591336125936188E+001                  6.9999999515804656E-001                  2.8000000484195359E-001                  1.9999999999999796E-002                  6.9999999515804656E-001                  2.9802477204637978E-005                  2.7997020236474895E-001                  3.4416106108119912E-003                  1.0081585468366041E-003                  9.3604466091399743E-003                  2.0994599496976488E-003                  4.0903242835137492E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0899449097889504E+000                 -4.7118931861334338E-005 
                                       7                  3.8983702126780133E+000                 -7.4559271333977319E+000                  4.2532995090460410E+000                 -4.6493866362269397E-002                  2.3022152063639654E+000                 -1.0404815065508681E-002                 -1.5135917832622887E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3946680670358155E+001                  0.0000000000000000E+000                  2.0561757736343740E+001                                        1                  8.0718140490617196E+005                 -1.6566422709981482E-010                 -1.6495048526497140E+001                  1.2824374498120901E+000                  6.2162500000000023E+020                 -1.2505149978319904E+001                  2.0000000000000013E+000                  9.9999999999681255E-001                 -1.3842920782394496E-012                  8.9847528184766856E-001                  8.9847268519145151E-001                  7.9135292634734560E+003                  9.5855039510548823E-001                 -1.8385049462090082E-002                  1.7918411624384404E+004                  9.9944803305398833E-001                  4.2530597266651320E+000                  1.9123058569913182E-001                  1.1057833979011842E-002                  6.9999999515804656E-001                  2.8000000484195359E-001                  1.9999999999999796E-002                  1.2966439739826185E+000                  8.5000496465855746E-001                  5.2020722602198044E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0053517675496683E+007                                        1                  6.2220257092739650E-002                 -4.0871370113848471E+000                  9.9808173575045345E+000                  2.9788412439457943E+000                  1.1799676353946909E-003                  1.0089086266854665E+001                  2.1664705838758230E-004                  9.9808173575045345E+000                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  2.5535004297246622E-001                  2.5535004390960686E-001                  9.9999999999681255E-001                 -1.1496549806557987E+001                 -1.1496549806557987E+001                  6.9999999515804656E-001                  2.8000000484195359E-001                  1.9999999999999796E-002                  6.9999999515804656E-001                  2.9802477204637978E-005                  2.7997020236474895E-001                  3.4416106108119912E-003                  1.0081585468366041E-003                  9.3604466091399743E-003                  2.0994599496976488E-003                  4.0903242835137492E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3221681096287683E+000                 -1.6260111470393690E-004 
                                       8                  3.9026366476134848E+000                 -7.4454407876466364E+000                  4.2686398673868036E+000                 -4.6496376659449778E-002                  2.3022152063639671E+000                 -1.1540194621028219E-002                 -1.4789909069359846E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3946680670358155E+001                  0.0000000000000000E+000                  2.0577269575460232E+001                                        1                  8.0905720013187942E+005                 -1.6542564025934364E-010                 -1.6392361167561422E+001                  1.2806976051217294E+000                  1.2432500000000005E+021                 -1.2204119982655923E+001                  5.0000000000000000E-001                  9.9999999999650002E-001                 -1.5200211691572787E-012                  8.9847008852023236E-001                  8.9846501902964859E-001                  7.9916535370367110E+003                  1.0004608676759579E+000                  2.0010618086186953E-004                  1.8562645353480581E+004                  9.9944583581726754E-001                  4.2683991302300575E+000                  1.8524892990986344E-001                  1.2128007562556910E-002                  6.9999999515804656E-001                  2.8000000484195359E-001                  1.9999999999999796E-002                  1.2966439739826185E+000                  8.5000496465855746E-001                  5.7517266244836496E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0270860591583397E+007                                        1                  8.7695418002814024E-002                 -3.8166327077056033E+000                  1.0210702811593093E+001                  3.2057868998042491E+000                  1.9852155695441781E-003                  1.0305099721020206E+001                  2.1907952397162670E-004                  1.0210702811593093E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  2.7693211843885640E-001                  2.7693212302901576E-001                  9.9999999999650002E-001                 -1.1455931955649723E+001                 -1.1455931955649723E+001                  6.9999999515804656E-001                  2.8000000484195359E-001                  1.9999999999999796E-002                  6.9999999515804656E-001                  2.9802477204637978E-005                  2.7997020236474895E-001                  3.4416106108119912E-003                  1.0081585468366041E-003                  9.3604466091399743E-003                  2.0994599496976488E-003                  4.0903242835137492E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4634165697822046E+000                 -2.2917035280546448E-004 
                                       9                  3.9090973943647747E+000                 -7.4332709312348282E+000                  4.2882899991390619E+000                 -4.6501277605312176E-002                  2.3022152063639707E+000                 -1.3795954026588942E-002                 -1.4712370463991947E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3946680670358163E+001                  0.0000000000000000E+000                  2.0611478104478500E+001                                        1                  8.1208741533659236E+005                 -1.6487100213178124E-010                 -1.6244620088197873E+001                  1.2776823551359349E+000                  1.2432500000000005E+021                 -1.2204119982655923E+001                  1.0000000000000000E+000                  9.9999999999587508E-001                 -1.7914311346197361E-012                  8.9845994948185903E-001                  8.9845501996679067E-001                  8.1114294341159211E+003                  1.0955925991098407E+000                  3.9649089868329948E-002                  1.9421823324671979E+004                  9.9943787706149856E-001                  4.2880458036083331E+000                  1.7620784593708377E-001                  1.3979166805140582E-002                  6.9999999515804656E-001                  2.8000000484195359E-001                  1.9999999999999796E-002                  1.2966439739826185E+000                  8.5000496465855746E-001                  6.5731328691569624E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0762907525502391E+007                                        1                  1.4813640883748747E-001                 -3.3296088463888744E+000                  1.0588970238717334E+001                  3.5775201530658780E+000                  4.6549752116485264E-003                  1.0676660966658343E+001                  2.2288059683580076E-004                  1.0588970238717334E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  3.2886479676096109E-001                  3.2886486977785717E-001                  9.9999999999587508E-001                 -1.1384576047114054E+001                 -1.1384576047114054E+001                  6.9999999515804656E-001                  2.8000000484195359E-001                  1.9999999999999796E-002                  6.9999999515804656E-001                  2.9802477204637978E-005                  2.7997020236474895E-001                  3.4416106108119912E-003                  1.0081585468366041E-003                  9.3604466091399743E-003                  2.0994599496976488E-003                  4.0903242835137492E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8196636043536749E+000                 -3.8762148480752301E-004 
